time,SVEL,SVEL_qc,PSAL,PSAL_qc,CNDC,CNDC_qc,PRES,PRES_qc,TEMP,TEMP_qc
2021-01-01T00:00:00Z,1507.81,1,38.0413,1,4.53248,1,19.411,1,14.1335,1
2021-01-01T00:30:00Z,1507.79,1,38.04,1,4.53194,1,19.41,1,14.1297,1
2021-01-01T01:00:00Z,1507.79,1,38.0387,1,4.53193,1,19.411,1,14.1308,1
2021-01-01T01:30:00Z,1507.77,1,38.0354,1,4.53141,1,19.411,1,14.1295,1
2021-01-01T02:00:00Z,1507.76,1,38.0358,1,4.5307,1,19.413,1,14.1223,1
2021-01-01T02:30:00Z,1507.74,1,38.0342,1,4.53006,1,19.416,1,14.1202,1
2021-01-01T03:00:00Z,1507.75,1,38.0424,1,4.53104,1,19.442,1,14.1186,1
2021-01-01T03:30:00Z,1507.72,1,38.0468,1,4.53016,1,19.453,1,14.1058,1
2021-01-01T04:00:00Z,1507.7,1,38.0461,1,4.52899,1,19.46,1,14.0989,1
2021-01-01T04:30:00Z,1507.68,1,38.0389,1,4.52812,1,19.474,1,14.1004,1
2021-01-01T05:00:00Z,1507.69,1,38.0473,1,4.52917,1,19.505,1,14.096,1
2021-01-01T05:30:00Z,1507.65,1,38.0453,1,4.52713,1,19.529,1,14.0878,1
2021-01-01T06:00:00Z,1507.62,1,38.0424,1,4.52604,1,19.548,1,14.0801,1
2021-01-01T06:30:00Z,1507.6,1,38.0452,1,4.52606,1,19.573,1,14.0684,1
2021-01-01T07:00:00Z,1507.6,1,38.0406,1,4.52569,1,19.6,1,14.0694,1
2021-01-01T07:30:00Z,1507.6,1,38.0434,1,4.52594,1,19.619,1,14.069,1
2021-01-01T08:00:00Z,1507.59,1,38.0432,1,4.52543,1,19.63,1,14.0643,1
2021-01-01T08:30:00Z,1507.59,1,38.0449,1,4.5255,1,19.63,1,14.0633,1
2021-01-01T09:00:00Z,1507.57,1,38.0437,1,4.52491,1,19.63,1,14.0599,1
2021-01-01T09:30:00Z,1507.55,1,38.0421,1,4.52378,1,19.634,1,14.0529,1
2021-01-01T10:00:00Z,1507.54,1,38.0411,1,4.5235,1,19.633,1,14.0504,1
2021-01-01T10:30:00Z,1507.54,1,38.0384,1,4.5235,1,19.62,1,14.0511,1
2021-01-01T11:00:00Z,1507.53,1,38.0299,1,4.52242,1,19.607,1,14.0502,1
2021-01-01T11:30:00Z,1507.49,1,38.0221,1,4.52085,1,19.586,1,14.0435,1
2021-01-01T12:00:00Z,1507.49,1,38.0436,1,4.52144,1,19.577,1,14.0435,1
2021-01-01T12:30:00Z,1507.49,1,38.0452,1,4.52247,1,19.566,1,14.0342,1
2021-01-01T13:00:00Z,1507.45,1,38.0436,1,4.52108,1,19.547,1,14.0225,1
2021-01-01T13:30:00Z,1507.4,1,38.0408,1,4.51897,1,19.541,1,14.0067,1
2021-01-01T14:00:00Z,1507.29,1,38.0407,1,4.51554,1,19.535,1,13.9727,1
2021-01-01T14:30:00Z,1507.14,1,38.039,1,4.51041,1,19.521,1,13.927,1
2021-01-01T15:00:00Z,1507.0,1,38.0404,1,4.50606,1,19.518,1,13.8826,1
2021-01-01T15:30:00Z,1506.9,1,38.0382,1,4.50225,1,19.507,1,13.8561,1
2021-01-01T16:00:00Z,1506.92,1,38.0394,1,4.50345,1,19.505,1,13.8588,1
2021-01-01T16:30:00Z,1506.83,1,38.0443,1,4.50099,1,19.507,1,13.8303,1
2021-01-01T17:00:00Z,1506.78,1,38.0414,1,4.49903,1,19.513,1,13.8146,1
2021-01-01T17:30:00Z,1506.72,1,38.0429,1,4.49716,1,19.514,1,13.7952,1
2021-01-01T18:00:00Z,1506.54,1,38.0445,1,4.4912,1,19.52,1,13.7387,1
2021-01-01T18:30:00Z,1506.35,1,38.0428,1,4.48498,1,19.539,1,13.6791,1
2021-01-01T19:00:00Z,1506.17,1,38.0418,1,4.47937,1,19.547,1,13.6265,1
2021-01-01T19:30:00Z,1506.01,1,38.0397,1,4.47368,1,19.541,1,13.5763,1
2021-01-01T20:00:00Z,1505.72,1,38.0318,1,4.46358,1,19.542,1,13.4981,1
2021-01-01T20:30:00Z,1505.33,1,38.0332,1,4.45169,1,19.541,1,13.3754,1
2021-01-01T21:00:00Z,1504.98,1,38.0317,1,4.44008,1,19.542,1,13.2691,1
2021-01-01T21:30:00Z,1504.79,1,38.0228,1,4.43361,1,19.528,1,13.2076,1
2021-01-01T22:00:00Z,1504.63,1,38.0183,1,4.42881,1,19.506,1,13.165,1
2021-01-01T22:30:00Z,1504.22,1,38.0146,1,4.41518,1,19.495,1,13.0393,1
2021-01-01T23:00:00Z,1504.18,1,38.0054,1,4.41352,1,19.475,1,13.032,1
2021-01-01T23:30:00Z,1504.11,1,38.0109,1,4.41117,1,19.465,1,13.0062,1
2021-01-02T00:00:00Z,1504.07,1,38.0161,1,4.41036,1,19.441,1,12.9958,1
2021-01-02T00:00:00Z,1504.07,1,38.0161,1,4.41036,1,19.441,1,12.9958,1
2021-01-02T00:30:00Z,1504.17,1,38.0024,1,4.4125,1,19.441,1,13.0668,1
2021-01-02T01:00:00Z,1504.45,1,38.0273,1,4.42273,1,19.439,1,13.1118,1
2021-01-02T01:30:00Z,1504.45,1,38.0193,1,4.42231,1,19.436,1,13.119,1
2021-01-02T02:00:00Z,1504.46,1,38.0205,1,4.42327,1,19.431,1,13.1157,1
2021-01-02T02:30:00Z,1504.61,1,38.0278,1,4.42851,1,19.424,1,13.1536,1
2021-01-02T03:00:00Z,1504.63,1,38.016,1,4.42764,1,19.423,1,13.1895,1
2021-01-02T03:30:00Z,1504.85,1,38.0256,1,4.43593,1,19.431,1,13.227,1
2021-01-02T04:00:00Z,1505.07,1,38.018,1,4.44244,1,19.448,1,13.2969,1
2021-01-02T04:30:00Z,1505.29,1,38.023,1,4.4498,1,19.471,1,13.3648,1
2021-01-02T05:00:00Z,1505.31,1,38.0305,1,4.45089,1,19.473,1,13.3654,1
2021-01-02T05:30:00Z,1505.22,1,38.0319,1,4.44852,1,19.505,1,13.3424,1
2021-01-02T06:00:00Z,1505.18,1,38.0349,1,4.44707,1,19.526,1,13.3245,1
2021-01-02T06:30:00Z,1505.14,1,38.0372,1,4.44585,1,19.545,1,13.311,1
2021-01-02T07:00:00Z,1505.23,1,38.032,1,4.44883,1,19.568,1,13.3461,1
2021-01-02T07:30:00Z,1505.53,1,38.0311,1,4.45789,1,19.591,1,13.4318,1
2021-01-02T08:00:00Z,1505.79,1,38.0308,1,4.46613,1,19.621,1,13.5109,1
2021-01-02T08:30:00Z,1505.98,1,38.0296,1,4.4723,1,19.637,1,13.5711,1
2021-01-02T09:00:00Z,1506.16,1,38.0293,1,4.47812,1,19.632,1,13.6271,1
2021-01-02T09:30:00Z,1506.29,1,38.0282,1,4.48211,1,19.644,1,13.6663,1
2021-01-02T10:00:00Z,1506.43,1,38.0289,1,4.48683,1,19.64,1,13.7106,1
2021-01-02T10:30:00Z,1506.58,1,38.0288,1,4.49143,1,19.63,1,13.7549,1
2021-01-02T11:00:00Z,1506.67,1,38.0355,1,4.49489,1,19.621,1,13.781,1
2021-01-02T11:30:00Z,1506.72,1,38.0337,1,4.49663,1,19.603,1,13.7993,1
2021-01-02T12:00:00Z,1506.74,1,38.0391,1,4.49739,1,19.592,1,13.8012,1
2021-01-02T12:30:00Z,1506.73,1,38.0319,1,4.49628,1,19.579,1,13.8022,1
2021-01-02T13:00:00Z,1506.83,1,38.0289,1,4.49959,1,19.562,1,13.8347,1
2021-01-02T13:30:00Z,1506.82,1,38.0404,1,4.50024,1,19.554,1,13.8286,1
2021-01-02T14:00:00Z,1506.75,1,38.0292,1,4.49692,1,19.54,1,13.8084,1
2021-01-02T14:30:00Z,1506.77,1,38.0374,1,4.49818,1,19.541,1,13.8127,1
2021-01-02T15:00:00Z,1506.59,1,37.9985,1,4.4902,1,19.524,1,13.7752,1
2021-01-02T15:30:00Z,1506.61,1,37.976,1,4.48922,1,19.51,1,13.7951,1
2021-01-02T16:00:00Z,1506.76,1,38.0387,1,4.49864,1,19.512,1,13.8149,1
2021-01-02T16:30:00Z,1506.74,1,38.0407,1,4.4991,1,19.502,1,13.8202,1
2021-01-02T17:00:00Z,1506.69,1,38.0394,1,4.49468,1,19.507,1,13.8068,1
2021-01-02T17:30:00Z,1506.63,1,38.0413,1,4.49429,1,19.492,1,13.7721,1
2021-01-02T18:00:00Z,1506.56,1,38.0421,1,4.49178,1,19.502,1,13.769,1
2021-01-02T18:30:00Z,1506.68,1,38.0422,1,4.49592,1,19.52,1,13.7871,1
2021-01-02T19:00:00Z,1506.48,1,38.0309,1,4.48675,1,19.523,1,13.7475,1
2021-01-02T19:30:00Z,1506.13,1,37.8067,1,4.45577,1,19.533,1,13.7399,1
2021-01-02T20:00:00Z,1506.32,1,38.0158,1,4.47459,1,19.54,1,13.743,1
2021-01-02T20:30:00Z,1506.31,1,38.0089,1,4.47659,1,19.543,1,13.7222,1
2021-01-02T21:00:00Z,1506.37,1,38.0522,1,4.48555,1,19.535,1,13.6994,1
2021-01-02T21:30:00Z,1506.33,1,38.0554,1,4.48548,1,19.513,1,13.6711,1
2021-01-02T22:00:00Z,1506.13,1,38.026,1,4.4747,1,19.507,1,13.6469,1
2021-01-02T22:30:00Z,1506.17,1,38.0403,1,4.47866,1,19.501,1,13.6336,1
2021-01-02T23:00:00Z,1506.04,1,38.0466,1,4.4749,1,19.507,1,13.6058,1
2021-01-02T23:30:00Z,1506.06,1,38.0509,1,4.47627,1,19.495,1,13.5886,1
2021-01-03T00:00:00Z,1506.02,1,38.0396,1,4.47413,1,19.488,1,13.5864,1
2021-01-03T00:00:00Z,1506.02,1,38.0396,1,4.47413,1,19.488,1,13.5864,1
2021-01-03T00:30:00Z,1505.96,1,38.0351,1,4.47142,1,19.484,1,13.5775,1
2021-01-03T01:00:00Z,1505.96,1,38.0464,1,4.4733,1,19.456,1,13.564,1
2021-01-03T01:30:00Z,1505.81,1,37.9825,1,4.46038,1,19.47,1,13.5697,1
2021-01-03T02:00:00Z,1505.91,1,38.0401,1,4.4684,1,19.479,1,13.5682,1
2021-01-03T02:30:00Z,1505.63,1,37.7744,1,4.43931,1,19.465,1,13.5954,1
2021-01-04T10:00:00Z,1505.36,1,38.057,1,4.45422,1,19.649,1,13.3707,1
2021-01-04T10:30:00Z,1505.24,1,38.0494,1,4.44986,1,19.648,1,13.3366,1
2021-01-04T11:00:00Z,1505.32,1,38.0445,1,4.45208,1,19.648,1,13.3627,1
2021-01-04T11:30:00Z,1505.34,1,38.0468,1,4.45283,1,19.63,1,13.3676,1
2021-01-04T12:00:00Z,1505.36,1,38.0441,1,4.45281,1,19.629,1,13.376,1
2021-01-04T12:30:00Z,1505.4,1,38.0409,1,4.4545,1,19.615,1,13.3896,1
2021-01-04T13:00:00Z,1505.44,1,38.0364,1,4.45529,1,19.596,1,13.4016,1
2021-01-04T13:30:00Z,1505.47,1,38.0332,1,4.45618,1,19.583,1,13.4133,1
2021-01-04T14:00:00Z,1505.49,1,38.0306,1,4.45649,1,19.57,1,13.419,1
2021-01-04T14:30:00Z,1505.49,1,38.0292,1,4.45655,1,19.562,1,13.4208,1
2021-01-04T15:00:00Z,1505.46,1,38.0298,1,4.45549,1,19.55,1,13.4101,1
2021-01-04T15:30:00Z,1505.41,1,38.0265,1,4.45389,1,19.542,1,13.3981,1
2021-01-04T16:00:00Z,1505.41,1,38.0259,1,4.45341,1,19.529,1,13.4069,1
2021-01-04T16:30:00Z,1505.45,1,38.0282,1,4.45526,1,19.518,1,13.4095,1
2021-01-04T17:00:00Z,1505.45,1,38.0298,1,4.45493,1,19.513,1,13.4104,1
2021-01-04T17:30:00Z,1505.36,1,37.989,1,4.44779,1,19.509,1,13.4093,1
2021-01-04T18:00:00Z,1505.36,1,37.9871,1,4.44712,1,19.511,1,13.411,1
2021-01-04T18:30:00Z,1505.31,1,37.9387,1,4.44209,1,19.498,1,13.41,1
2021-01-04T19:00:00Z,1505.44,1,38.0313,1,4.45415,1,19.499,1,13.4085,1
2021-01-04T19:30:00Z,1505.37,1,37.998,1,4.44869,1,19.495,1,13.4077,1
2021-01-04T20:00:00Z,1505.43,1,38.0178,1,4.45318,1,19.499,1,13.4117,1
2021-01-04T20:30:00Z,1505.15,1,37.82,1,4.429,1,19.516,1,13.4125,1
2021-01-04T21:00:00Z,1505.41,1,37.9952,1,4.45017,1,19.511,1,13.4148,1
2021-01-04T21:30:00Z,1505.41,1,37.9814,1,4.44894,1,19.515,1,13.4246,1
2021-01-04T22:00:00Z,1505.46,1,37.982,1,4.44911,1,19.514,1,13.4454,1
2021-01-04T22:30:00Z,1505.38,1,37.9475,1,4.44522,1,19.516,1,13.4361,1
2021-01-04T23:00:00Z,1505.25,1,37.7686,1,4.43109,1,19.52,1,13.4419,1
2021-01-04T23:30:00Z,1505.48,1,37.9694,1,4.44986,1,19.515,1,13.4495,1
2021-01-05T00:00:00Z,1505.48,1,37.955,1,4.44926,1,19.511,1,13.458,1
2021-01-05T00:00:00Z,1505.48,1,37.955,1,4.44926,1,19.511,1,13.458,1
2021-01-05T00:30:00Z,1505.53,1,37.9363,1,4.4506,1,19.506,1,13.4747,1
2021-01-05T01:00:00Z,1505.39,1,37.7675,1,4.43439,1,19.492,1,13.4948,1
2021-01-05T01:30:00Z,1505.79,1,38.032,1,4.46595,1,19.485,1,13.5162,1
2021-01-05T02:00:00Z,1505.92,1,38.0323,1,4.47068,1,19.488,1,13.5539,1
2021-01-05T02:30:00Z,1506.02,1,38.0333,1,4.47372,1,19.478,1,13.5822,1
2021-01-05T03:00:00Z,1506.12,1,38.0324,1,4.47694,1,19.472,1,13.6127,1
2021-01-05T03:30:00Z,1506.21,1,38.0321,1,4.47974,1,19.461,1,13.6423,1
2021-01-05T04:00:00Z,1506.25,1,38.0342,1,4.4815,1,19.464,1,13.6545,1
2021-01-05T04:30:00Z,1506.29,1,38.0331,1,4.48248,1,19.465,1,13.665,1
2021-01-05T05:00:00Z,1506.29,1,38.0328,1,4.48298,1,19.463,1,13.6702,1
2021-01-05T05:30:00Z,1506.31,1,38.0306,1,4.48299,1,19.472,1,13.6723,1
2021-01-05T06:00:00Z,1506.33,1,38.0275,1,4.48365,1,19.485,1,13.6817,1
2021-01-05T06:30:00Z,1506.33,1,38.0263,1,4.48322,1,19.5,1,13.6921,1
2021-01-05T07:00:00Z,1506.22,1,37.9452,1,4.47162,1,19.514,1,13.6983,1
2021-01-05T07:30:00Z,1506.38,1,37.9978,1,4.48301,1,19.524,1,13.714,1
2021-01-05T08:00:00Z,1506.31,1,37.9527,1,4.475,1,19.555,1,13.7359,1
2021-01-05T08:30:00Z,1506.56,1,38.0163,1,4.49004,1,19.577,1,13.7604,1
2021-01-05T09:00:00Z,1506.55,1,37.998,1,4.4876,1,19.596,1,13.7716,1
2021-01-05T09:30:00Z,1506.65,1,38.0193,1,4.49328,1,19.621,1,13.7818,1
2021-01-05T10:00:00Z,1506.48,1,37.9126,1,4.47761,1,19.638,1,13.789,1
2021-01-05T10:30:00Z,1506.55,1,37.9811,1,4.48603,1,19.647,1,13.7838,1
2021-01-05T11:00:00Z,1506.67,1,38.0203,1,4.49385,1,19.644,1,13.7863,1
2021-01-05T11:30:00Z,1506.69,1,38.0164,1,4.49419,1,19.642,1,13.7935,1
2021-01-05T12:00:00Z,1506.7,1,38.0131,1,4.49452,1,19.637,1,13.7999,1
2021-01-05T12:30:00Z,1506.68,1,38.005,1,4.49237,1,19.628,1,13.8067,1
2021-01-05T13:00:00Z,1506.34,1,37.779,1,4.46134,1,19.614,1,13.8088,1
2021-01-05T13:30:00Z,1506.47,1,37.8868,1,4.475,1,19.604,1,13.8117,1
2021-01-05T14:00:00Z,1506.55,1,37.8686,1,4.47825,1,19.591,1,13.8151,1
