time,depth,sensor_id,precise_latitude,precise_longitude,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC,PSAL,PSAL_QC
2022-01-01 00:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0000,1,4.0000,1,22.0000,1,1.0000,1
2022-01-01 00:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0018,1,4.0004,1,22.0018,1,1.1309,1
2022-01-01 01:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0036,1,4.0007,1,22.0036,1,1.2595,1
2022-01-01 01:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0054,1,4.0011,1,22.0054,1,1.3837,1
2022-01-01 02:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0072,1,4.0014,1,22.0072,1,1.5012,1
2022-01-01 02:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0090,1,4.0018,1,22.0090,1,1.6102,1
2022-01-01 03:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0108,1,4.0022,1,22.0108,1,1.7086,1
2022-01-01 03:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0126,1,4.0025,1,22.0126,1,1.7949,1
2022-01-01 04:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0144,1,4.0029,1,22.0144,1,1.8675,1
2022-01-01 04:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0162,1,4.0032,1,22.0162,1,1.9251,1
2022-01-01 05:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0180,1,4.0036,1,22.0180,1,1.9669,1
2022-01-01 05:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0198,1,4.0040,1,22.0198,1,1.9920,1
2022-01-01 06:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0216,1,4.0043,1,22.0216,1,2.0000,1
2022-01-01 06:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0234,1,4.0047,1,22.0234,1,1.9908,1
2022-01-01 07:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0252,1,4.0050,1,22.0252,1,1.9646,1
2022-01-01 07:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0270,1,4.0054,1,22.0270,1,1.9218,1
2022-01-01 08:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0288,1,4.0058,1,22.0288,1,1.8631,1
2022-01-01 08:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0306,1,4.0061,1,22.0306,1,1.7896,1
2022-01-01 09:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0324,1,4.0065,1,22.0324,1,1.7025,1
2022-01-01 09:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0342,1,4.0068,1,22.0342,1,1.6033,1
2022-01-01 10:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0360,1,4.0072,1,22.0360,1,1.4938,1
2022-01-01 10:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0378,1,4.0076,1,22.0378,1,1.3757,1
2022-01-01 11:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0396,1,4.0079,1,22.0396,1,1.2512,1
2022-01-01 11:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0414,1,4.0083,1,22.0414,1,1.1223,1
2022-01-01 12:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0432,1,4.0086,1,22.0432,1,0.9914,1
2022-01-01 12:30:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0450,1,4.0090,1,22.0450,1,0.8606,1
2022-01-01 13:00:00+00:00,200,SBE37SMP_SN0002,43.8419,9.1339,22.0467,1,4.0093,1,22.0467,1,0.7322,1
