time,depth,sensor_id,precise_latitude,precise_longitude,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC,PSAL,PSAL_QC
2022-01-01 00:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0000,1,2.0000,1,14.0000,1,-1.0000,1
2022-01-01 00:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0018,1,2.0004,1,14.0018,1,-0.8691,1
2022-01-01 01:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0036,1,2.0007,1,14.0036,1,-0.7405,1
2022-01-01 01:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0054,1,2.0011,1,14.0054,1,-0.6163,1
2022-01-01 02:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0072,1,2.0014,1,14.0072,1,-0.4988,1
2022-01-01 02:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0090,1,2.0018,1,14.0090,1,-0.3898,1
2022-01-01 03:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0108,1,2.0022,1,14.0108,1,-0.2914,1
2022-01-01 03:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0126,1,2.0025,1,14.0126,1,-0.2051,1
2022-01-01 04:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0144,1,2.0029,1,14.0144,1,-0.1325,1
2022-01-01 04:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0162,1,2.0032,1,14.0162,1,-0.0749,1
2022-01-01 05:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0180,1,2.0036,1,14.0180,1,-0.0331,1
2022-01-01 05:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0198,1,2.0040,1,14.0198,1,-0.0080,1
2022-01-01 06:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0216,1,2.0043,1,14.0216,1,-0.0000,1
2022-01-01 06:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0234,1,2.0047,1,14.0234,1,-0.0092,1
2022-01-01 07:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0252,1,2.0050,1,14.0252,1,-0.0354,1
2022-01-01 07:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0270,1,2.0054,1,14.0270,1,-0.0782,1
2022-01-01 08:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0288,1,2.0058,1,14.0288,1,-0.1369,1
2022-01-01 08:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0306,1,2.0061,1,14.0306,1,-0.2104,1
2022-01-01 09:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0324,1,2.0065,1,14.0324,1,-0.2975,1
2022-01-01 09:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0342,1,2.0068,1,14.0342,1,-0.3967,1
2022-01-01 10:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0360,1,2.0072,1,14.0360,1,-0.5062,1
2022-01-01 10:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0378,1,2.0076,1,14.0378,1,-0.6243,1
2022-01-01 11:00:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0396,1,2.0079,1,14.0396,1,-0.7488,1
2022-01-01 11:30:00+00:00,400,SBE37SMP_SN0004,43.8419,9.1339,14.0414,1,2.0083,1,14.0414,1,-0.8777,1
