time,depth,sensor_id,precise_latitude,precise_longitude,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC
2024-01-01 00:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0000,1,4.0000,1,22.0000,1
2024-01-01 00:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0018,1,4.0004,1,22.0018,1
2024-01-01 01:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0036,1,4.0007,1,22.0036,1
2024-01-01 01:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0054,1,4.0011,1,22.0054,1
2024-01-01 02:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0072,1,4.0014,1,22.0072,1
2024-01-01 02:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0090,1,4.0018,1,22.0090,1
2024-01-01 03:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0108,1,4.0022,1,22.0108,1
2024-01-01 03:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0126,1,4.0025,1,22.0126,1
2024-01-01 04:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0143,1,4.0029,1,22.0143,1
2024-01-01 04:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0161,1,4.0032,1,22.0161,1
2024-01-01 05:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0179,1,4.0036,1,22.0179,1
2024-01-01 05:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0197,1,4.0039,1,22.0197,1
2024-01-01 06:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0215,1,4.0043,1,22.0215,1
2024-01-01 06:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0233,1,4.0047,1,22.0233,1
2024-01-01 07:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0251,1,4.0050,1,22.0251,1
2024-01-01 07:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0269,1,4.0054,1,22.0269,1
2024-01-01 08:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0287,1,4.0057,1,22.0287,1
2024-01-01 08:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0305,1,4.0061,1,22.0305,1
2024-01-01 09:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0323,1,4.0065,1,22.0323,1
2024-01-01 09:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0341,1,4.0068,1,22.0341,1
2024-01-01 10:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0359,1,4.0072,1,22.0359,1
2024-01-01 10:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0377,1,4.0075,1,22.0377,1
2024-01-01 11:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0394,1,4.0079,1,22.0394,1
2024-01-01 11:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0412,1,4.0082,1,22.0412,1
2024-01-01 12:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0430,1,4.0086,1,22.0430,1
2024-01-01 12:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0448,1,4.0090,1,22.0448,1
2024-01-01 13:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0466,1,4.0093,1,22.0466,1
2024-01-01 13:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0484,1,4.0097,1,22.0484,1
2024-01-01 14:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0502,1,4.0100,1,22.0502,1
2024-01-01 14:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0520,1,4.0104,1,22.0520,1
2024-01-01 15:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0538,1,4.0108,1,22.0538,1
2024-01-01 15:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0556,1,4.0111,1,22.0556,1
2024-01-01 16:00:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0574,1,4.0115,1,22.0574,1
2024-01-01 16:30:00+00:00,200,SBE37SMP_SN0004,43.8401,9.1317,22.0592,1,4.0118,1,22.0592,1
