time,depth,sensor_id,precise_latitude,precise_longitude,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC
2022-01-01 00:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0000,1,3.0000,1,18.0000,1
2022-01-01 00:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0018,1,3.0004,1,18.0018,1
2022-01-01 01:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0036,1,3.0007,1,18.0036,1
2022-01-01 01:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0054,1,3.0011,1,18.0054,1
2022-01-01 02:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0072,1,3.0014,1,18.0072,1
2022-01-01 02:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0090,1,3.0018,1,18.0090,1
2022-01-01 03:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0108,1,3.0022,1,18.0108,1
2022-01-01 03:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0126,1,3.0025,1,18.0126,1
2022-01-01 04:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0144,1,3.0029,1,18.0144,1
2022-01-01 04:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0162,1,3.0032,1,18.0162,1
2022-01-01 05:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0180,1,3.0036,1,18.0180,1
2022-01-01 05:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0198,1,3.0040,1,18.0198,1
2022-01-01 06:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0216,1,3.0043,1,18.0216,1
2022-01-01 06:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0234,1,3.0047,1,18.0234,1
2022-01-01 07:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0252,1,3.0050,1,18.0252,1
2022-01-01 07:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0270,1,3.0054,1,18.0270,1
2022-01-01 08:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0288,1,3.0058,1,18.0288,1
2022-01-01 08:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0306,1,3.0061,1,18.0306,1
2022-01-01 09:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0324,1,3.0065,1,18.0324,1
2022-01-01 09:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0342,1,3.0068,1,18.0342,1
2022-01-01 10:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0360,1,3.0072,1,18.0360,1
2022-01-01 10:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0378,1,3.0076,1,18.0378,1
2022-01-01 11:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0396,1,3.0079,1,18.0396,1
2022-01-01 11:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0414,1,3.0083,1,18.0414,1
2022-01-01 12:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0432,1,3.0086,1,18.0432,1
2022-01-01 12:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0450,1,3.0090,1,18.0450,1
2022-01-01 13:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0467,1,3.0093,1,18.0467,1
2022-01-01 13:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0485,1,3.0097,1,18.0485,1
2022-01-01 14:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0503,1,3.0101,1,18.0503,1
2022-01-01 14:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0521,1,3.0104,1,18.0521,1
2022-01-01 15:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0539,1,3.0108,1,18.0539,1
2022-01-01 15:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0557,1,3.0111,1,18.0557,1
2022-01-01 16:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0575,1,3.0115,1,18.0575,1
2022-01-01 16:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0593,1,3.0119,1,18.0593,1
2022-01-01 17:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0611,1,3.0122,1,18.0611,1
2022-01-01 17:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0629,1,3.0126,1,18.0629,1
2022-01-01 18:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0647,1,3.0129,1,18.0647,1
2022-01-01 18:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0665,1,3.0133,1,18.0665,1
2022-01-01 19:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0683,1,3.0137,1,18.0683,1
2022-01-01 19:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0701,1,3.0140,1,18.0701,1
2022-01-01 20:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0719,1,3.0144,1,18.0719,1
2022-01-01 20:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0737,1,3.0147,1,18.0737,1
2022-01-01 21:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0755,1,3.0151,1,18.0755,1
2022-01-01 21:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0773,1,3.0155,1,18.0773,1
2022-01-01 22:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0791,1,3.0158,1,18.0791,1
2022-01-01 22:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0809,1,3.0162,1,18.0809,1
2022-01-01 23:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0827,1,3.0165,1,18.0827,1
2022-01-01 23:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0845,1,3.0169,1,18.0845,1
2022-01-02 00:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0863,1,3.0173,1,18.0863,1
2022-01-02 00:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0881,1,3.0176,1,18.0881,1
2022-01-02 01:00:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0899,1,3.0180,1,18.0899,1
2022-01-02 01:30:00+00:00,300,SBE37SMP_SN0003,43.8419,9.1339,18.0917,1,3.0183,1,18.0917,1
