time,depth,sensor_id,precise_latitude,precise_longitude,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC,PSAL,PSAL_QC
2024-01-01 00:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0000,1,5.0000,1,26.0000,1,2.0000,1
2024-01-01 00:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0018,1,5.0004,1,26.0018,1,2.1305,1
2024-01-01 01:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0036,1,5.0007,1,26.0036,1,2.2588,1
2024-01-01 01:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0054,1,5.0011,1,26.0054,1,2.3827,1
2024-01-01 02:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0072,1,5.0014,1,26.0072,1,2.5000,1
2024-01-01 02:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0090,1,5.0018,1,26.0090,1,2.6088,1
2024-01-01 03:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0108,1,5.0022,1,26.0108,1,2.7071,1
2024-01-01 03:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0126,1,5.0025,1,26.0126,1,2.7934,1
2024-01-01 04:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0143,1,5.0029,1,26.0143,1,2.8660,1
2024-01-01 04:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0161,1,5.0032,1,26.0161,1,2.9239,1
2024-01-01 05:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0179,1,5.0036,1,26.0179,1,2.9659,1
2024-01-01 05:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0197,1,5.0039,1,26.0197,1,2.9914,1
2024-01-01 06:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0215,1,5.0043,1,26.0215,1,3.0000,1
2024-01-01 06:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0233,1,5.0047,1,26.0233,1,2.9914,1
2024-01-01 07:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0251,1,5.0050,1,26.0251,1,2.9659,1
2024-01-01 07:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0269,1,5.0054,1,26.0269,1,2.9239,1
2024-01-01 08:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0287,1,5.0057,1,26.0287,1,2.8660,1
2024-01-01 08:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0305,1,5.0061,1,26.0305,1,2.7934,1
2024-01-01 09:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0323,1,5.0065,1,26.0323,1,2.7071,1
2024-01-01 09:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0341,1,5.0068,1,26.0341,1,2.6088,1
2024-01-01 10:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0359,1,5.0072,1,26.0359,1,2.5000,1
2024-01-01 10:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0377,1,5.0075,1,26.0377,1,2.3827,1
2024-01-01 11:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0394,1,5.0079,1,26.0394,1,2.2588,1
2024-01-01 11:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0412,1,5.0082,1,26.0412,1,2.1305,1
2024-01-01 12:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0430,1,5.0086,1,26.0430,1,2.0000,1
2024-01-01 12:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0448,1,5.0090,1,26.0448,1,1.8695,1
2024-01-01 13:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0466,1,5.0093,1,26.0466,1,1.7412,1
2024-01-01 13:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0484,1,5.0097,1,26.0484,1,1.6173,1
2024-01-01 14:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0502,1,5.0100,1,26.0502,1,1.5000,1
2024-01-01 14:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0520,1,5.0104,1,26.0520,1,1.3912,1
2024-01-01 15:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0538,1,5.0108,1,26.0538,1,1.2929,1
2024-01-01 15:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0556,1,5.0111,1,26.0556,1,1.2066,1
2024-01-01 16:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0574,1,5.0115,1,26.0574,1,1.1340,1
2024-01-01 16:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0592,1,5.0118,1,26.0592,1,1.0761,1
2024-01-01 17:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0610,1,5.0122,1,26.0610,1,1.0341,1
2024-01-01 17:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0628,1,5.0126,1,26.0628,1,1.0086,1
2024-01-01 18:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0646,1,5.0129,1,26.0646,1,1.0000,1
2024-01-01 18:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0663,1,5.0133,1,26.0663,1,1.0086,1
2024-01-01 19:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0681,1,5.0136,1,26.0681,1,1.0341,1
2024-01-01 19:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0699,1,5.0140,1,26.0699,1,1.0761,1
2024-01-01 20:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0717,1,5.0143,1,26.0717,1,1.1340,1
2024-01-01 20:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0735,1,5.0147,1,26.0735,1,1.2066,1
2024-01-01 21:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0753,1,5.0151,1,26.0753,1,1.2929,1
2024-01-01 21:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0771,1,5.0154,1,26.0771,1,1.3912,1
2024-01-01 22:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0789,1,5.0158,1,26.0789,1,1.5000,1
2024-01-01 22:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0807,1,5.0161,1,26.0807,1,1.6173,1
2024-01-01 23:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0825,1,5.0165,1,26.0825,1,1.7412,1
2024-01-01 23:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0843,1,5.0169,1,26.0843,1,1.8695,1
2024-01-02 00:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0861,1,5.0172,1,26.0861,1,2.0000,1
2024-01-02 00:30:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0879,1,5.0176,1,26.0879,1,2.1305,1
2024-01-02 01:00:00+00:00,100,SBE37SMP_SN0002,43.8401,9.1317,26.0897,1,5.0179,1,26.0897,1,2.2588,1
