time,precise_latitude,precise_longitude,depth,sensor_id,AIRT,WSPD,WDIR,AIRT_QC,WSPD_QC,WDIR_QC
2024-01-01 00:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0000,10.0000,180.0000,1,1,1
2024-01-01 00:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0036,10.0004,180.3228,1,1,1
2024-01-01 01:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0072,10.0007,180.6455,1,1,1
2024-01-01 01:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0108,10.0011,180.9683,1,1,1
2024-01-01 02:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0143,10.0014,181.2911,1,1,1
2024-01-01 02:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0179,10.0018,181.6138,1,1,1
2024-01-01 03:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0215,10.0022,181.9366,1,1,1
2024-01-01 03:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0251,10.0025,182.2593,1,1,1
2024-01-01 04:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0287,10.0029,182.5820,1,1,1
2024-01-01 04:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0323,10.0032,182.9048,1,1,1
2024-01-01 05:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0359,10.0036,183.2275,1,1,1
2024-01-01 05:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0394,10.0039,183.5502,1,1,1
2024-01-01 06:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0430,10.0043,183.8729,1,1,1
2024-01-01 06:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0466,10.0047,184.1956,1,1,1
2024-01-01 07:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0502,10.0050,184.5183,1,1,1
2024-01-01 07:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0538,10.0054,184.8409,1,1,1
2024-01-01 08:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0574,10.0057,185.1636,1,1,1
2024-01-01 08:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0610,10.0061,185.4862,1,1,1
2024-01-01 09:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0646,10.0065,185.8088,1,1,1
2024-01-01 09:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0681,10.0068,186.1314,1,1,1
2024-01-01 10:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0717,10.0072,186.4539,1,1,1
2024-01-01 10:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0753,10.0075,186.7765,1,1,1
2024-01-01 11:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0789,10.0079,187.0990,1,1,1
2024-01-01 11:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0825,10.0082,187.4215,1,1,1
2024-01-01 12:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0861,10.0086,187.7440,1,1,1
2024-01-01 12:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0897,10.0090,188.0665,1,1,1
2024-01-01 13:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0932,10.0093,188.3889,1,1,1
2024-01-01 13:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.0968,10.0097,188.7113,1,1,1
2024-01-01 14:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1004,10.0100,189.0337,1,1,1
2024-01-01 14:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1040,10.0104,189.3560,1,1,1
2024-01-01 15:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1076,10.0108,189.6783,1,1,1
2024-01-01 15:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1112,10.0111,190.0006,1,1,1
2024-01-01 16:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1148,10.0115,190.3229,1,1,1
2024-01-01 16:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1183,10.0118,190.6451,1,1,1
2024-01-01 17:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1219,10.0122,190.9673,1,1,1
2024-01-01 17:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1255,10.0126,191.2894,1,1,1
2024-01-01 18:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1291,10.0129,191.6115,1,1,1
2024-01-01 18:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1327,10.0133,191.9336,1,1,1
2024-01-01 19:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1363,10.0136,192.2556,1,1,1
2024-01-01 19:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1399,10.0140,192.5776,1,1,1
2024-01-01 20:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1434,10.0143,192.8996,1,1,1
2024-01-01 20:30:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1470,10.0147,193.2215,1,1,1
2024-01-01 21:00:00+00:00,43.8401,9.1317,-1,Airmar_200WX_SN0001,30.1506,10.0151,193.5434,1,1,1
