time,depth,sensor_id,precise_latitude,precise_longitude,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC,PSAL,PSAL_QC
2024-01-01 00:00:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0000,1,2.0000,1,14.0000,1,-1.0000,1
2024-01-01 00:30:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0018,1,2.0004,1,14.0018,1,-0.8695,1
2024-01-01 01:00:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0036,1,2.0007,1,14.0036,1,-0.7412,1
2024-01-01 01:30:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0054,1,2.0011,1,14.0054,1,-0.6173,1
2024-01-01 02:00:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0072,1,2.0014,1,14.0072,1,-0.5000,1
2024-01-01 02:30:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0090,1,2.0018,1,14.0090,1,-0.3912,1
2024-01-01 03:00:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0108,1,2.0022,1,14.0108,1,-0.2929,1
2024-01-01 03:30:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0126,1,2.0025,1,14.0126,1,-0.2066,1
2024-01-01 04:00:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0143,1,2.0029,1,14.0143,1,-0.1340,1
2024-01-01 04:30:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0161,1,2.0032,1,14.0161,1,-0.0761,1
2024-01-01 05:00:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0179,1,2.0036,1,14.0179,1,-0.0341,1
2024-01-01 05:30:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0197,1,2.0039,1,14.0197,1,-0.0086,1
2024-01-01 06:00:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0215,1,2.0043,1,14.0215,1,0.0000,1
2024-01-01 06:30:00+00:00,400,SBE37SMP_SN0003,43.8401,9.1317,14.0233,1,2.0047,1,14.0233,1,-0.0086,1
