time,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC
2024-01-01 00:00:00+00:00,15.0000,1.0000,3.0000,1.0000,15.0000,1.0000
2024-01-01 00:30:00+00:00,15.0018,1.0000,3.0004,1.0000,15.0018,1.0000
2024-01-01 01:00:00+00:00,15.0036,1.0000,3.0007,1.0000,15.0036,1.0000
2024-01-01 01:30:00+00:00,15.0054,1.0000,3.0011,1.0000,15.0054,1.0000
2024-01-01 02:00:00+00:00,15.0072,1.0000,3.0014,1.0000,15.0072,1.0000
2024-01-01 02:30:00+00:00,15.0089,1.0000,3.0018,1.0000,15.0089,1.0000
2024-01-01 03:00:00+00:00,15.0107,1.0000,3.0021,1.0000,15.0107,1.0000
2024-01-01 03:30:00+00:00,15.0125,1.0000,3.0025,1.0000,15.0125,1.0000
2024-01-01 04:00:00+00:00,15.0143,1.0000,3.0029,1.0000,15.0143,1.0000
2024-01-01 04:30:00+00:00,15.0161,1.0000,3.0032,1.0000,15.0161,1.0000
2024-01-01 05:00:00+00:00,15.0179,1.0000,3.0036,1.0000,15.0179,1.0000
2024-01-01 05:30:00+00:00,15.0197,1.0000,3.0039,1.0000,15.0197,1.0000
2024-01-01 06:00:00+00:00,15.0215,1.0000,3.0043,1.0000,15.0215,1.0000
2024-01-01 06:30:00+00:00,15.0232,1.0000,3.0046,1.0000,15.0232,1.0000
2024-01-01 07:00:00+00:00,15.0250,1.0000,3.0050,1.0000,15.0250,1.0000
2024-01-01 07:30:00+00:00,15.0268,1.0000,3.0054,1.0000,15.0268,1.0000
2024-01-01 08:00:00+00:00,15.0286,1.0000,3.0057,1.0000,15.0286,1.0000
2024-01-01 08:30:00+00:00,15.0304,1.0000,3.0061,1.0000,15.0304,1.0000
2024-01-01 09:00:00+00:00,15.0322,1.0000,3.0064,1.0000,15.0322,1.0000
2024-01-01 09:30:00+00:00,15.0340,1.0000,3.0068,1.0000,15.0340,1.0000
2024-01-01 10:00:00+00:00,15.0358,1.0000,3.0072,1.0000,15.0358,1.0000
2024-01-01 10:30:00+00:00,15.0376,1.0000,3.0075,1.0000,15.0376,1.0000
2024-01-01 11:00:00+00:00,15.0393,1.0000,3.0079,1.0000,15.0393,1.0000
2024-01-01 11:30:00+00:00,15.0411,1.0000,3.0082,1.0000,15.0411,1.0000
2024-01-01 12:00:00+00:00,15.0429,1.0000,3.0086,1.0000,15.0429,1.0000
2024-01-01 12:30:00+00:00,15.0447,1.0000,3.0089,1.0000,15.0447,1.0000
2024-01-01 13:00:00+00:00,15.0465,1.0000,3.0093,1.0000,15.0465,1.0000
2024-01-01 13:30:00+00:00,15.0483,1.0000,3.0097,1.0000,15.0483,1.0000
