time,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC
2024-01-01 00:00:00+00:00,20.0000,1.0000,4.0000,1.0000,20.0000,1.0000
2024-01-01 00:30:00+00:00,20.0018,1.0000,4.0004,1.0000,20.0018,1.0000
2024-01-01 01:00:00+00:00,20.0036,1.0000,4.0007,1.0000,20.0036,1.0000
2024-01-01 01:30:00+00:00,20.0054,1.0000,4.0011,1.0000,20.0054,1.0000
2024-01-01 02:00:00+00:00,20.0072,1.0000,4.0014,1.0000,20.0072,1.0000
2024-01-01 02:30:00+00:00,20.0089,1.0000,4.0018,1.0000,20.0089,1.0000
2024-01-01 03:00:00+00:00,20.0107,1.0000,4.0021,1.0000,20.0107,1.0000
2024-01-01 03:30:00+00:00,20.0125,1.0000,4.0025,1.0000,20.0125,1.0000
2024-01-01 04:00:00+00:00,20.0143,1.0000,4.0029,1.0000,20.0143,1.0000
2024-01-01 04:30:00+00:00,20.0161,1.0000,4.0032,1.0000,20.0161,1.0000
2024-01-01 05:00:00+00:00,20.0179,1.0000,4.0036,1.0000,20.0179,1.0000
2024-01-01 05:30:00+00:00,20.0197,1.0000,4.0039,1.0000,20.0197,1.0000
2024-01-01 06:00:00+00:00,20.0215,1.0000,4.0043,1.0000,20.0215,1.0000
2024-01-01 06:30:00+00:00,20.0232,1.0000,4.0046,1.0000,20.0232,1.0000
2024-01-01 07:00:00+00:00,20.0250,1.0000,4.0050,1.0000,20.0250,1.0000
2024-01-01 07:30:00+00:00,20.0268,1.0000,4.0054,1.0000,20.0268,1.0000
2024-01-01 08:00:00+00:00,20.0286,1.0000,4.0057,1.0000,20.0286,1.0000
2024-01-01 08:30:00+00:00,20.0304,1.0000,4.0061,1.0000,20.0304,1.0000
2024-01-01 09:00:00+00:00,20.0322,1.0000,4.0064,1.0000,20.0322,1.0000
2024-01-01 09:30:00+00:00,20.0340,1.0000,4.0068,1.0000,20.0340,1.0000
2024-01-01 10:00:00+00:00,20.0358,1.0000,4.0072,1.0000,20.0358,1.0000
2024-01-01 10:30:00+00:00,20.0376,1.0000,4.0075,1.0000,20.0376,1.0000
2024-01-01 11:00:00+00:00,20.0393,1.0000,4.0079,1.0000,20.0393,1.0000
2024-01-01 11:30:00+00:00,20.0411,1.0000,4.0082,1.0000,20.0411,1.0000
2024-01-01 12:00:00+00:00,20.0429,1.0000,4.0086,1.0000,20.0429,1.0000
2024-01-01 12:30:00+00:00,20.0447,1.0000,4.0089,1.0000,20.0447,1.0000
2024-01-01 13:00:00+00:00,20.0465,1.0000,4.0093,1.0000,20.0465,1.0000
2024-01-01 13:30:00+00:00,20.0483,1.0000,4.0097,1.0000,20.0483,1.0000
2024-01-01 14:00:00+00:00,20.0501,1.0000,4.0100,1.0000,20.0501,1.0000
2024-01-01 14:30:00+00:00,20.0519,1.0000,4.0104,1.0000,20.0519,1.0000
2024-01-01 15:00:00+00:00,20.0536,1.0000,4.0107,1.0000,20.0536,1.0000
2024-01-01 15:30:00+00:00,20.0554,1.0000,4.0111,1.0000,20.0554,1.0000
2024-01-01 16:00:00+00:00,20.0572,1.0000,4.0114,1.0000,20.0572,1.0000
2024-01-01 16:30:00+00:00,20.0590,1.0000,4.0118,1.0000,20.0590,1.0000
2024-01-01 17:00:00+00:00,20.0608,1.0000,4.0122,1.0000,20.0608,1.0000
2024-01-01 17:30:00+00:00,20.0626,1.0000,4.0125,1.0000,20.0626,1.0000
2024-01-01 18:00:00+00:00,20.0644,1.0000,4.0129,1.0000,20.0644,1.0000
2024-01-01 18:30:00+00:00,20.0662,1.0000,4.0132,1.0000,20.0662,1.0000
2024-01-01 19:00:00+00:00,20.0680,1.0000,4.0136,1.0000,20.0680,1.0000
2024-01-01 19:30:00+00:00,20.0697,1.0000,4.0139,1.0000,20.0697,1.0000
2024-01-01 20:00:00+00:00,20.0715,1.0000,4.0143,1.0000,20.0715,1.0000
2024-01-01 20:30:00+00:00,20.0733,1.0000,4.0147,1.0000,20.0733,1.0000
2024-01-01 21:00:00+00:00,20.0751,1.0000,4.0150,1.0000,20.0751,1.0000
2024-01-01 21:30:00+00:00,20.0769,1.0000,4.0154,1.0000,20.0769,1.0000
2024-01-01 22:00:00+00:00,20.0787,1.0000,4.0157,1.0000,20.0787,1.0000
2024-01-01 22:30:00+00:00,20.0805,1.0000,4.0161,1.0000,20.0805,1.0000
2024-01-01 23:00:00+00:00,20.0823,1.0000,4.0165,1.0000,20.0823,1.0000
2024-01-01 23:30:00+00:00,20.0840,1.0000,4.0168,1.0000,20.0840,1.0000
2024-01-02 00:00:00+00:00,20.0858,1.0000,4.0172,1.0000,20.0858,1.0000
2024-01-02 00:30:00+00:00,20.0876,1.0000,4.0175,1.0000,20.0876,1.0000
2024-01-02 01:00:00+00:00,20.0894,1.0000,4.0179,1.0000,20.0894,1.0000
2024-01-02 01:30:00+00:00,20.0912,1.0000,4.0182,1.0000,20.0912,1.0000
2024-01-02 02:00:00+00:00,20.0930,1.0000,4.0186,1.0000,20.0930,1.0000
2024-01-02 02:30:00+00:00,20.0948,1.0000,4.0190,1.0000,20.0948,1.0000
2024-01-02 03:00:00+00:00,20.0966,1.0000,4.0193,1.0000,20.0966,1.0000
2024-01-02 03:30:00+00:00,20.0983,1.0000,4.0197,1.0000,20.0983,1.0000
2024-01-02 04:00:00+00:00,20.1001,1.0000,4.0200,1.0000,20.1001,1.0000
2024-01-02 04:30:00+00:00,20.1019,1.0000,4.0204,1.0000,20.1019,1.0000
2024-01-02 05:00:00+00:00,20.1037,1.0000,4.0207,1.0000,20.1037,1.0000
2024-01-02 05:30:00+00:00,20.1055,1.0000,4.0211,1.0000,20.1055,1.0000
2024-01-02 06:00:00+00:00,20.1073,1.0000,4.0215,1.0000,20.1073,1.0000
