time,depth,sensor_id,TEMP,TEMP_QC,CNDC,CNDC_QC,PSAL,PSAL_QC,PRES,PRES_QC
2024-01-01 00:00:00,20.0000,SBE37SMP_SN47472_5496,15.0000,1,5.0000,1,36.0000,1,20.0000,1
2024-01-01 00:30:00,20.0000,SBE37SMP_SN47472_5496,15.6394,1,5.1279,1,36.1279,1,20.6302,1
2024-01-01 01:00:00,20.0000,SBE37SMP_SN47472_5496,16.2683,1,5.2537,1,36.2537,1,18.8038,1
2024-01-01 01:30:00,20.0000,SBE37SMP_SN47472_5496,16.8763,1,5.3753,1,36.3753,1,21.6403,1
2024-01-01 02:00:00,20.0000,SBE37SMP_SN47472_5496,17.4536,1,5.4907,1,36.4907,1,18.0827,1
2024-01-01 02:30:00,20.0000,SBE37SMP_SN47472_5496,17.9906,1,5.5981,1,36.5981,1,21.9990,1
2024-01-01 03:00:00,20.0000,SBE37SMP_SN47472_5496,18.4784,1,5.6957,1,36.6957,1,18.1231,1
2024-01-01 03:30:00,20.0000,SBE37SMP_SN47472_5496,18.9092,1,5.7818,1,36.7818,1,21.5637,1
2024-01-01 04:00:00,20.0000,SBE37SMP_SN47472_5496,19.2757,1,5.8551,1,36.8551,1,18.9089,1
2024-01-01 04:30:00,20.0000,SBE37SMP_SN47472_5496,19.5721,1,5.9144,1,36.9144,1,20.5073,1
2024-01-01 05:00:00,20.0000,SBE37SMP_SN47472_5496,19.7933,1,5.9587,1,36.9587,1,20.1281,1
2024-01-01 05:30:00,20.0000,SBE37SMP_SN47472_5496,19.9359,1,5.9872,1,36.9872,1,19.2495,1
2024-01-01 06:00:00,20.0000,SBE37SMP_SN47472_5496,19.9974,1,5.9995,1,36.9995,1,21.2965,1
2024-01-01 06:30:00,20.0000,SBE37SMP_SN47472_5496,19.9769,1,5.9954,1,36.9954,1,18.2897,1
2024-01-01 07:00:00,20.0000,SBE37SMP_SN47472_5496,19.8746,1,5.9749,1,36.9749,1,21.9499,1
2024-01-01 07:30:00,20.0000,SBE37SMP_SN47472_5496,19.6923,1,5.9385,1,36.9385,1,18.0092,1
2024-01-01 08:00:00,20.0000,SBE37SMP_SN47472_5496,19.4330,1,5.8866,1,36.8866,1,21.8288,1
2024-01-01 08:30:00,20.0000,SBE37SMP_SN47472_5496,19.1009,1,5.8202,1,36.8202,1,18.5194,1
2024-01-01 09:00:00,20.0000,SBE37SMP_SN47472_5496,18.7014,1,5.7403,1,36.7403,1,20.9814,1
2024-01-01 09:30:00,20.0000,SBE37SMP_SN47472_5496,18.2411,1,5.6482,1,36.6482,1,19.6177,1
2024-01-01 10:00:00,20.0000,SBE37SMP_SN47472_5496,17.7277,1,5.5455,1,36.5455,1,19.7442,1
2024-01-01 10:30:00,20.0000,SBE37SMP_SN47472_5496,17.1694,1,5.4339,1,36.4339,1,20.8678,1
2024-01-01 11:00:00,20.0000,SBE37SMP_SN47472_5496,16.5755,1,5.3151,1,36.3151,1,18.6086,1
2024-01-01 11:30:00,20.0000,SBE37SMP_SN47472_5496,15.9558,1,5.1912,1,36.1912,1,21.7732,1
2024-01-01 12:00:00,20.0000,SBE37SMP_SN47472_5496,15.3204,1,5.0641,1,36.0641,1,18.0256,1
2024-01-01 12:30:00,20.0000,SBE37SMP_SN47472_5496,14.6796,1,4.9359,1,35.9359,1,21.9744,1
2024-01-01 13:00:00,20.0000,SBE37SMP_SN47472_5496,14.0442,1,4.8088,1,35.8088,1,18.2268,1
2024-01-01 13:30:00,20.0000,SBE37SMP_SN47472_5496,13.4245,1,4.6849,1,35.6849,1,21.3914,1
2024-01-01 14:00:00,20.0000,SBE37SMP_SN47472_5496,12.8306,1,4.5661,1,35.5661,1,19.1322,1
2024-01-01 14:30:00,20.0000,SBE37SMP_SN47472_5496,12.2723,1,4.4545,1,35.4545,1,20.2558,1
2024-01-01 15:00:00,20.0000,SBE37SMP_SN47472_5496,11.7589,1,4.3518,1,35.3518,1,20.3823,1
2024-01-01 15:30:00,20.0000,SBE37SMP_SN47472_5496,11.2986,1,4.2597,1,35.2597,1,19.0186,1
2024-01-01 16:00:00,20.0000,SBE37SMP_SN47472_5496,10.8991,1,4.1798,1,35.1798,1,21.4806,1
2024-01-01 16:30:00,20.0000,SBE37SMP_SN47472_5496,10.5670,1,4.1134,1,35.1134,1,18.1712,1
2024-01-01 17:00:00,20.0000,SBE37SMP_SN47472_5496,10.3077,1,4.0615,1,35.0615,1,21.9908,1
2024-01-01 17:30:00,20.0000,SBE37SMP_SN47472_5496,10.1254,1,4.0251,1,35.0251,1,18.0501,1
2024-01-01 18:00:00,20.0000,SBE37SMP_SN47472_5496,10.0231,1,4.0046,1,35.0046,1,21.7103,1
2024-01-01 18:30:00,20.0000,SBE37SMP_SN47472_5496,10.0026,1,4.0005,1,35.0005,1,18.7035,1
2024-01-01 19:00:00,20.0000,SBE37SMP_SN47472_5496,10.0641,1,4.0128,1,35.0128,1,20.7505,1
2024-01-01 19:30:00,20.0000,SBE37SMP_SN47472_5496,10.2067,1,4.0413,1,35.0413,1,19.8719,1
2024-01-01 20:00:00,20.0000,SBE37SMP_SN47472_5496,10.4279,1,4.0856,1,35.0856,1,19.4927,1
2024-01-01 20:30:00,20.0000,SBE37SMP_SN47472_5496,10.7243,1,4.1449,1,35.1449,1,21.0911,1
2024-01-01 21:00:00,20.0000,SBE37SMP_SN47472_5496,11.0908,1,4.2182,1,35.2182,1,18.4363,1
2024-01-01 21:30:00,20.0000,SBE37SMP_SN47472_5496,11.5216,1,4.3043,1,35.3043,1,21.8769,1
2024-01-01 22:00:00,20.0000,SBE37SMP_SN47472_5496,12.0094,1,4.4019,1,35.4019,1,18.0010,1
2024-01-01 22:30:00,20.0000,SBE37SMP_SN47472_5496,12.5464,1,4.5093,1,35.5093,1,21.9173,1
2024-01-01 23:00:00,20.0000,SBE37SMP_SN47472_5496,13.1237,1,4.6247,1,35.6247,1,18.3597,1
2024-01-01 23:30:00,20.0000,SBE37SMP_SN47472_5496,13.7317,1,4.7463,1,35.7463,1,21.1962,1
2024-01-02 00:00:00,20.0000,SBE37SMP_SN47472_5496,14.3606,1,4.8721,1,35.8721,1,19.3698,1
