time,TEMP,TEMP_QC,CNDC,CNDC_QC,PSAL,PSAL_QC
2024-07-01 00:00:00+00:00,20.0000,1.0000,5.0000,1.0000,20.0000,1.0000
2024-07-01 00:30:00+00:00,20.0036,1.0000,5.0007,1.0000,20.0036,1.0000
2024-07-01 01:00:00+00:00,20.0071,1.0000,5.0014,1.0000,20.0071,1.0000
2024-07-01 01:30:00+00:00,20.0107,1.0000,5.0021,1.0000,20.0107,1.0000
2024-07-01 02:00:00+00:00,20.0142,1.0000,5.0028,1.0000,20.0142,1.0000
2024-07-01 02:30:00+00:00,20.0178,1.0000,5.0036,1.0000,20.0178,1.0000
2024-07-01 03:00:00+00:00,20.0213,1.0000,5.0043,1.0000,20.0213,1.0000
2024-07-01 03:30:00+00:00,20.0249,1.0000,5.0050,1.0000,20.0249,1.0000
2024-07-01 04:00:00+00:00,20.0285,1.0000,5.0057,1.0000,20.0285,1.0000
2024-07-01 04:30:00+00:00,20.0320,1.0000,5.0064,1.0000,20.0320,1.0000
2024-07-01 05:00:00+00:00,20.0356,1.0000,5.0071,1.0000,20.0356,1.0000
2024-07-01 05:30:00+00:00,20.0391,1.0000,5.0078,1.0000,20.0391,1.0000
2024-07-01 06:00:00+00:00,20.0427,1.0000,5.0085,1.0000,20.0427,1.0000
2024-07-01 06:30:00+00:00,20.0462,1.0000,5.0092,1.0000,20.0462,1.0000
2024-07-01 07:00:00+00:00,20.0498,1.0000,5.0100,1.0000,20.0498,1.0000
2024-07-01 07:30:00+00:00,20.0534,1.0000,5.0107,1.0000,20.0534,1.0000
2024-07-01 08:00:00+00:00,20.0569,1.0000,5.0114,1.0000,20.0569,1.0000
2024-07-01 08:30:00+00:00,20.0605,1.0000,5.0121,1.0000,20.0605,1.0000
2024-07-01 09:00:00+00:00,20.0640,1.0000,5.0128,1.0000,20.0640,1.0000
2024-07-01 09:30:00+00:00,20.0676,1.0000,5.0135,1.0000,20.0676,1.0000
2024-07-01 10:00:00+00:00,20.0711,1.0000,5.0142,1.0000,20.0711,1.0000
2024-07-01 10:30:00+00:00,20.0747,1.0000,5.0149,1.0000,20.0747,1.0000
2024-07-01 11:00:00+00:00,20.0783,1.0000,5.0157,1.0000,20.0783,1.0000
2024-07-01 11:30:00+00:00,20.0818,1.0000,5.0164,1.0000,20.0818,1.0000
2024-07-01 12:00:00+00:00,20.0854,1.0000,5.0171,1.0000,20.0854,1.0000
2024-07-01 12:30:00+00:00,20.0889,1.0000,5.0178,1.0000,20.0889,1.0000
2024-07-01 13:00:00+00:00,20.0925,1.0000,5.0185,1.0000,20.0925,1.0000
2024-07-01 13:30:00+00:00,20.0960,1.0000,5.0192,1.0000,20.0960,1.0000
2024-07-01 14:00:00+00:00,20.0996,1.0000,5.0199,1.0000,20.0996,1.0000
2024-07-01 14:30:00+00:00,20.1031,1.0000,5.0206,1.0000,20.1031,1.0000
2024-07-01 15:00:00+00:00,20.1067,1.0000,5.0213,1.0000,20.1067,1.0000
2024-07-01 15:30:00+00:00,20.1103,1.0000,5.0221,1.0000,20.1103,1.0000
