time,TEMP,TEMP_QC,CNDC,CNDC_QC,PSAL,PSAL_QC
2024-01-01 00:00:00+00:00,20.0000,1.0000,5.0000,1.0000,20.0000,1.0000
2024-01-01 00:30:00+00:00,20.0058,1.0000,5.0007,1.0000,20.0058,1.0000
2024-01-01 01:00:00+00:00,20.0115,1.0000,5.0014,1.0000,20.0115,1.0000
2024-01-01 01:30:00+00:00,20.0173,1.0000,5.0022,1.0000,20.0173,1.0000
2024-01-01 02:00:00+00:00,20.0230,1.0000,5.0029,1.0000,20.0230,1.0000
2024-01-01 02:30:00+00:00,20.0288,1.0000,5.0036,1.0000,20.0288,1.0000
2024-01-01 03:00:00+00:00,20.0345,1.0000,5.0043,1.0000,20.0345,1.0000
2024-01-01 03:30:00+00:00,20.0403,1.0000,5.0050,1.0000,20.0403,1.0000
2024-01-01 04:00:00+00:00,20.0460,1.0000,5.0058,1.0000,20.0460,1.0000
2024-01-01 04:30:00+00:00,20.0518,1.0000,5.0065,1.0000,20.0518,1.0000
2024-01-01 05:00:00+00:00,20.0575,1.0000,5.0072,1.0000,20.0575,1.0000
2024-01-01 05:30:00+00:00,20.0633,1.0000,5.0079,1.0000,20.0633,1.0000
2024-01-01 06:00:00+00:00,20.0690,1.0000,5.0086,1.0000,20.0690,1.0000
2024-01-01 06:30:00+00:00,20.0748,1.0000,5.0093,1.0000,20.0748,1.0000
2024-01-01 07:00:00+00:00,20.0806,1.0000,5.0101,1.0000,20.0806,1.0000
2024-01-01 07:30:00+00:00,20.0863,1.0000,5.0108,1.0000,20.0863,1.0000
2024-01-01 08:00:00+00:00,20.0921,1.0000,5.0115,1.0000,20.0921,1.0000
2024-01-01 08:30:00+00:00,20.0978,1.0000,5.0122,1.0000,20.0978,1.0000
2024-01-01 09:00:00+00:00,20.1036,1.0000,5.0129,1.0000,20.1036,1.0000
2024-01-01 09:30:00+00:00,20.1093,1.0000,5.0137,1.0000,20.1093,1.0000
2024-01-01 10:00:00+00:00,20.1151,1.0000,5.0144,1.0000,20.1151,1.0000
2024-01-01 10:30:00+00:00,20.1208,1.0000,5.0151,1.0000,20.1208,1.0000
2024-01-01 11:00:00+00:00,20.1266,1.0000,5.0158,1.0000,20.1266,1.0000
2024-01-01 11:30:00+00:00,20.1323,1.0000,5.0165,1.0000,20.1323,1.0000
2024-01-01 12:00:00+00:00,20.1381,1.0000,5.0173,1.0000,20.1381,1.0000
2024-01-01 12:30:00+00:00,20.1438,1.0000,5.0180,1.0000,20.1438,1.0000
2024-01-01 13:00:00+00:00,20.1496,1.0000,5.0187,1.0000,20.1496,1.0000
2024-01-01 13:30:00+00:00,20.1553,1.0000,5.0194,1.0000,20.1553,1.0000
2024-01-01 14:00:00+00:00,20.1611,1.0000,5.0201,1.0000,20.1611,1.0000
2024-01-01 14:30:00+00:00,20.1668,1.0000,5.0209,1.0000,20.1668,1.0000
2024-01-01 15:00:00+00:00,20.1726,1.0000,5.0216,1.0000,20.1726,1.0000
2024-01-01 15:30:00+00:00,20.1784,1.0000,5.0223,1.0000,20.1784,1.0000
2024-01-01 16:00:00+00:00,20.1841,1.0000,5.0230,1.0000,20.1841,1.0000
2024-01-01 16:30:00+00:00,20.1899,1.0000,5.0237,1.0000,20.1899,1.0000
2024-01-01 17:00:00+00:00,20.1956,1.0000,5.0245,1.0000,20.1956,1.0000
2024-01-01 17:30:00+00:00,20.2014,1.0000,5.0252,1.0000,20.2014,1.0000
2024-01-01 18:00:00+00:00,20.2071,1.0000,5.0259,1.0000,20.2071,1.0000
2024-01-01 18:30:00+00:00,20.2129,1.0000,5.0266,1.0000,20.2129,1.0000
2024-01-01 19:00:00+00:00,20.2186,1.0000,5.0273,1.0000,20.2186,1.0000
2024-01-01 19:30:00+00:00,20.2244,1.0000,5.0280,1.0000,20.2244,1.0000
2024-01-01 20:00:00+00:00,20.2301,1.0000,5.0288,1.0000,20.2301,1.0000
2024-01-01 20:30:00+00:00,20.2359,1.0000,5.0295,1.0000,20.2359,1.0000
2024-01-01 21:00:00+00:00,20.2416,1.0000,5.0302,1.0000,20.2416,1.0000
2024-01-01 21:30:00+00:00,20.2474,1.0000,5.0309,1.0000,20.2474,1.0000
2024-01-01 22:00:00+00:00,20.2531,1.0000,5.0316,1.0000,20.2531,1.0000
2024-01-01 22:30:00+00:00,20.2589,1.0000,5.0324,1.0000,20.2589,1.0000
