time,depth,latitude,longitude,platform_id,sensor_id,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC,PSAL,PSAL_QC
2024-01-01 00:00:00+00:00,4.0000,41.2063,1.7324,Girona500_SN0002,SBE37SMP_SN47472_5496,20.0000,1,5.0000,1,4.0000,1,36.0000,1
2024-01-01 00:01:00+00:00,4.0436,41.2057,1.7325,Girona500_SN0002,SBE37SMP_SN47472_5496,20.0349,1,5.0044,1,4.0436,1,36.0436,1
2024-01-01 00:02:00+00:00,4.0871,41.2052,1.7325,Girona500_SN0002,SBE37SMP_SN47472_5496,20.0698,1,5.0087,1,4.0871,1,36.0871,1
2024-01-01 00:03:00+00:00,4.1304,41.2047,1.7326,Girona500_SN0002,SBE37SMP_SN47472_5496,20.1046,1,5.0131,1,4.1304,1,36.1304,1
2024-01-01 00:04:00+00:00,4.1735,41.2042,1.7327,Girona500_SN0002,SBE37SMP_SN47472_5496,20.1395,1,5.0174,1,4.1735,1,36.1735,1
2024-01-01 00:05:00+00:00,4.2163,41.2037,1.7328,Girona500_SN0002,SBE37SMP_SN47472_5496,20.1744,1,5.0218,1,4.2163,1,36.2163,1
2024-01-01 00:06:00+00:00,4.2586,41.2033,1.7328,Girona500_SN0002,SBE37SMP_SN47472_5496,20.2093,1,5.0262,1,4.2586,1,36.2586,1
2024-01-01 00:07:00+00:00,4.3005,41.2028,1.7329,Girona500_SN0002,SBE37SMP_SN47472_5496,20.2441,1,5.0305,1,4.3005,1,36.3005,1
2024-01-01 00:08:00+00:00,4.3418,41.2023,1.7330,Girona500_SN0002,SBE37SMP_SN47472_5496,20.2790,1,5.0349,1,4.3418,1,36.3418,1
2024-01-01 00:09:00+00:00,4.3824,41.2018,1.7330,Girona500_SN0002,SBE37SMP_SN47472_5496,20.3139,1,5.0392,1,4.3824,1,36.3824,1
2024-01-01 00:10:00+00:00,4.4223,41.2013,1.7331,Girona500_SN0002,SBE37SMP_SN47472_5496,20.3487,1,5.0436,1,4.4223,1,36.4223,1
2024-01-01 00:11:00+00:00,4.4615,41.2009,1.7332,Girona500_SN0002,SBE37SMP_SN47472_5496,20.3836,1,5.0479,1,4.4615,1,36.4615,1
2024-01-01 00:12:00+00:00,4.4997,41.2004,1.7332,Girona500_SN0002,SBE37SMP_SN47472_5496,20.4184,1,5.0523,1,4.4997,1,36.4997,1
2024-01-01 00:13:00+00:00,4.5370,41.2000,1.7333,Girona500_SN0002,SBE37SMP_SN47472_5496,20.4532,1,5.0567,1,4.5370,1,36.5370,1
2024-01-01 00:14:00+00:00,4.5732,41.1995,1.7334,Girona500_SN0002,SBE37SMP_SN47472_5496,20.4880,1,5.0610,1,4.5732,1,36.5732,1
2024-01-01 00:15:00+00:00,4.6084,41.1991,1.7335,Girona500_SN0002,SBE37SMP_SN47472_5496,20.5229,1,5.0654,1,4.6084,1,36.6084,1
2024-01-01 00:16:00+00:00,4.6424,41.1987,1.7335,Girona500_SN0002,SBE37SMP_SN47472_5496,20.5577,1,5.0697,1,4.6424,1,36.6424,1
2024-01-01 00:17:00+00:00,4.6752,41.1983,1.7336,Girona500_SN0002,SBE37SMP_SN47472_5496,20.5925,1,5.0741,1,4.6752,1,36.6752,1
2024-01-01 00:18:00+00:00,4.7067,41.1979,1.7337,Girona500_SN0002,SBE37SMP_SN47472_5496,20.6272,1,5.0784,1,4.7067,1,36.7067,1
2024-01-01 00:19:00+00:00,4.7369,41.1976,1.7337,Girona500_SN0002,SBE37SMP_SN47472_5496,20.6620,1,5.0828,1,4.7369,1,36.7369,1
2024-01-01 00:20:00+00:00,4.7657,41.1972,1.7338,Girona500_SN0002,SBE37SMP_SN47472_5496,20.6968,1,5.0871,1,4.7657,1,36.7657,1
2024-01-01 00:21:00+00:00,4.7930,41.1969,1.7339,Girona500_SN0002,SBE37SMP_SN47472_5496,20.7315,1,5.0914,1,4.7930,1,36.7930,1
2024-01-01 00:22:00+00:00,4.8188,41.1965,1.7339,Girona500_SN0002,SBE37SMP_SN47472_5496,20.7662,1,5.0958,1,4.8188,1,36.8188,1
2024-01-01 00:23:00+00:00,4.8430,41.1962,1.7340,Girona500_SN0002,SBE37SMP_SN47472_5496,20.8010,1,5.1001,1,4.8430,1,36.8430,1
2024-01-01 00:24:00+00:00,4.8657,41.1959,1.7341,Girona500_SN0002,SBE37SMP_SN47472_5496,20.8356,1,5.1045,1,4.8657,1,36.8657,1
