time,depth,latitude,longitude,platform_id,sensor_id,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC,PSAL,PSAL_QC
2024-01-01 00:10:00+00:00,4.0000,41.1063,1.7224,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.0000,1,5.0000,1,4.0000,1,36.0000,1
2024-01-01 00:11:30+00:00,4.0653,41.1055,1.7225,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.0523,1,5.0065,1,4.0653,1,36.0653,1
2024-01-01 00:13:00+00:00,4.1304,41.1047,1.7226,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.1046,1,5.0131,1,4.1304,1,36.1304,1
2024-01-01 00:14:30+00:00,4.1949,41.1040,1.7227,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.1569,1,5.0196,1,4.1949,1,36.1949,1
2024-01-01 00:16:00+00:00,4.2586,41.1033,1.7228,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.2092,1,5.0261,1,4.2586,1,36.2586,1
2024-01-01 00:17:30+00:00,4.3211,41.1025,1.7229,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.2615,1,5.0327,1,4.3211,1,36.3211,1
2024-01-01 00:19:00+00:00,4.3823,41.1018,1.7230,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.3138,1,5.0392,1,4.3823,1,36.3823,1
2024-01-01 00:20:30+00:00,4.4419,41.1011,1.7231,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.3660,1,5.0458,1,4.4419,1,36.4419,1
2024-01-01 00:22:00+00:00,4.4995,41.1004,1.7232,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.4183,1,5.0523,1,4.4995,1,36.4995,1
2024-01-01 00:23:30+00:00,4.5551,41.0998,1.7233,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.4705,1,5.0588,1,4.5551,1,36.5551,1
2024-01-01 00:25:00+00:00,4.6082,41.0991,1.7235,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.5227,1,5.0653,1,4.6082,1,36.6082,1
2024-01-01 00:26:30+00:00,4.6588,41.0985,1.7236,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.5749,1,5.0719,1,4.6588,1,36.6588,1
2024-01-01 00:28:00+00:00,4.7065,41.0979,1.7237,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.6270,1,5.0784,1,4.7065,1,36.7065,1
2024-01-01 00:29:30+00:00,4.7513,41.0974,1.7238,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.6792,1,5.0849,1,4.7513,1,36.7513,1
2024-01-01 00:31:00+00:00,4.7928,41.0969,1.7239,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.7313,1,5.0914,1,4.7928,1,36.7928,1
2024-01-01 00:32:30+00:00,4.8309,41.0964,1.7240,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.7833,1,5.0979,1,4.8309,1,36.8309,1
2024-01-01 00:34:00+00:00,4.8655,41.0959,1.7241,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.8354,1,5.1044,1,4.8655,1,36.8655,1
2024-01-01 00:35:30+00:00,4.8964,41.0955,1.7242,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.8874,1,5.1109,1,4.8964,1,36.8964,1
2024-01-01 00:37:00+00:00,4.9234,41.0951,1.7243,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.9393,1,5.1174,1,4.9234,1,36.9234,1
2024-01-01 00:38:30+00:00,4.9465,41.0948,1.7244,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,20.9912,1,5.1239,1,4.9465,1,36.9465,1
2024-01-01 00:40:00+00:00,4.9656,41.0945,1.7245,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.0431,1,5.1304,1,4.9656,1,36.9656,1
2024-01-01 00:41:30+00:00,4.9805,41.0943,1.7246,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.0950,1,5.1369,1,4.9805,1,36.9805,1
2024-01-01 00:43:00+00:00,4.9912,41.0941,1.7247,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.1468,1,5.1433,1,4.9912,1,36.9912,1
2024-01-01 00:44:30+00:00,4.9978,41.0939,1.7248,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.1985,1,5.1498,1,4.9978,1,36.9978,1
2024-01-01 00:46:00+00:00,5.0000,41.0938,1.7249,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.2502,1,5.1563,1,5.0000,1,37.0000,1
2024-01-01 00:47:30+00:00,4.9980,41.0937,1.7250,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.3018,1,5.1627,1,4.9980,1,36.9980,1
2024-01-01 00:49:00+00:00,4.9917,41.0936,1.7251,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.3534,1,5.1692,1,4.9917,1,36.9917,1
2024-01-01 00:50:30+00:00,4.9811,41.0936,1.7252,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.4049,1,5.1756,1,4.9811,1,36.9811,1
2024-01-01 00:52:00+00:00,4.9664,41.0937,1.7253,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.4564,1,5.1820,1,4.9664,1,36.9664,1
2024-01-01 00:53:30+00:00,4.9476,41.0938,1.7254,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.5078,1,5.1885,1,4.9476,1,36.9476,1
2024-01-01 00:55:00+00:00,4.9247,41.0939,1.7255,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.5591,1,5.1949,1,4.9247,1,36.9247,1
2024-01-01 00:56:30+00:00,4.8978,41.0940,1.7256,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.6104,1,5.2013,1,4.8978,1,36.8978,1
2024-01-01 00:58:00+00:00,4.8671,41.0943,1.7257,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.6616,1,5.2077,1,4.8671,1,36.8671,1
2024-01-01 00:59:30+00:00,4.8327,41.0945,1.7258,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.7127,1,5.2141,1,4.8327,1,36.8327,1
2024-01-01 01:01:00+00:00,4.7948,41.0948,1.7259,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.7638,1,5.2205,1,4.7948,1,36.7948,1
2024-01-01 01:02:30+00:00,4.7534,41.0951,1.7261,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.8148,1,5.2268,1,4.7534,1,36.7534,1
2024-01-01 01:04:00+00:00,4.7088,41.0954,1.7262,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.8657,1,5.2332,1,4.7088,1,36.7088,1
2024-01-01 01:05:30+00:00,4.6612,41.0958,1.7263,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.9165,1,5.2396,1,4.6612,1,36.6612,1
2024-01-01 01:07:00+00:00,4.6108,41.0962,1.7264,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,21.9672,1,5.2459,1,4.6108,1,36.6108,1
2024-01-01 01:08:30+00:00,4.5578,41.0966,1.7265,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,22.0179,1,5.2522,1,4.5578,1,36.5578,1
2024-01-01 01:10:00+00:00,4.5024,41.0971,1.7266,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,22.0684,1,5.2586,1,4.5024,1,36.5024,1
2024-01-01 01:11:30+00:00,4.4448,41.0975,1.7267,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,22.1189,1,5.2649,1,4.4448,1,36.4448,1
2024-01-01 01:13:00+00:00,4.3853,41.0980,1.7268,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,22.1693,1,5.2712,1,4.3853,1,36.3853,1
2024-01-01 01:14:30+00:00,4.3242,41.0985,1.7269,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,22.2196,1,5.2775,1,4.3242,1,36.3242,1
2024-01-01 01:16:00+00:00,4.2617,41.0991,1.7270,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,22.2698,1,5.2837,1,4.2617,1,36.2617,1
2024-01-01 01:17:30+00:00,4.1981,41.0996,1.7271,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,22.3199,1,5.2900,1,4.1981,1,36.1981,1
2024-01-01 01:19:00+00:00,4.1336,41.1001,1.7272,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,22.3699,1,5.2962,1,4.1336,1,36.1336,1
2024-01-01 01:20:30+00:00,4.0686,41.1007,1.7273,Sparus_II_AUV_SN0001,SBE16_SN57353_6479,22.4198,1,5.3025,1,4.0686,1,36.0686,1
