time,depth,sensor_id,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC
2024-01-01 00:00:00+00:00,400,SBE37SMP_400,10.0000,1.0000,2.0000,1.0000,10.0000,1.0000
2024-01-01 00:30:00+00:00,400,SBE37SMP_400,10.0018,1.0000,2.0004,1.0000,10.0018,1.0000
2024-01-01 01:00:00+00:00,400,SBE37SMP_400,10.0036,1.0000,2.0007,1.0000,10.0036,1.0000
2024-01-01 01:30:00+00:00,400,SBE37SMP_400,10.0054,1.0000,2.0011,1.0000,10.0054,1.0000
2024-01-01 02:00:00+00:00,400,SBE37SMP_400,10.0072,1.0000,2.0014,1.0000,10.0072,1.0000
2024-01-01 02:30:00+00:00,400,SBE37SMP_400,10.0089,1.0000,2.0018,1.0000,10.0089,1.0000
2024-01-01 03:00:00+00:00,400,SBE37SMP_400,10.0107,1.0000,2.0021,1.0000,10.0107,1.0000
2024-01-01 03:30:00+00:00,400,SBE37SMP_400,10.0125,1.0000,2.0025,1.0000,10.0125,1.0000
2024-01-01 04:00:00+00:00,400,SBE37SMP_400,10.0143,1.0000,2.0029,1.0000,10.0143,1.0000
2024-01-01 04:30:00+00:00,400,SBE37SMP_400,10.0161,1.0000,2.0032,1.0000,10.0161,1.0000
2024-01-01 05:00:00+00:00,400,SBE37SMP_400,10.0179,1.0000,2.0036,1.0000,10.0179,1.0000
2024-01-01 05:30:00+00:00,400,SBE37SMP_400,10.0197,1.0000,2.0039,1.0000,10.0197,1.0000
2024-01-01 06:00:00+00:00,400,SBE37SMP_400,10.0215,1.0000,2.0043,1.0000,10.0215,1.0000
2024-01-01 06:30:00+00:00,400,SBE37SMP_400,10.0232,1.0000,2.0046,1.0000,10.0232,1.0000
2024-01-01 07:00:00+00:00,400,SBE37SMP_400,10.0250,1.0000,2.0050,1.0000,10.0250,1.0000
2024-01-01 07:30:00+00:00,400,SBE37SMP_400,10.0268,1.0000,2.0054,1.0000,10.0268,1.0000
