time,depth,sensor_id,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC,PSAL,PSAL_QC
2024-07-01 00:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0000,1,5.0000,1,20.0000,1,34.0000,1
2024-07-01 00:30:00+00:00,20.0000,SBE16_SN57353_6479,20.0036,1,5.0007,1,20.5135,1,34.0014,1
2024-07-01 01:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0071,1,5.0014,1,20.9926,1,34.0028,1
2024-07-01 01:30:00+00:00,20.0000,SBE16_SN57353_6479,20.0107,1,5.0021,1,21.4051,1,34.0043,1
2024-07-01 02:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0142,1,5.0028,1,21.7235,1,34.0057,1
2024-07-01 02:30:00+00:00,20.0000,SBE16_SN57353_6479,20.0178,1,5.0036,1,21.9262,1,34.0071,1
2024-07-01 03:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0213,1,5.0043,1,21.9998,1,34.0085,1
2024-07-01 03:30:00+00:00,20.0000,SBE16_SN57353_6479,20.0249,1,5.0050,1,21.9394,1,34.0100,1
2024-07-01 04:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0285,1,5.0057,1,21.7489,1,34.0114,1
2024-07-01 04:30:00+00:00,20.0000,SBE16_SN57353_6479,20.0320,1,5.0064,1,21.4411,1,34.0128,1
2024-07-01 05:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0356,1,5.0071,1,21.0367,1,34.0142,1
2024-07-01 05:30:00+00:00,20.0000,SBE16_SN57353_6479,20.0391,1,5.0078,1,20.5628,1,34.0157,1
2024-07-01 06:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0427,1,5.0085,1,20.0512,1,34.0171,1
2024-07-01 06:30:00+00:00,20.0000,SBE16_SN57353_6479,20.0462,1,5.0092,1,19.5362,1,34.0185,1
2024-07-01 07:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0498,1,5.0100,1,19.0522,1,34.0199,1
2024-07-01 07:30:00+00:00,20.0000,SBE16_SN57353_6479,20.0534,1,5.0107,1,18.6318,1,34.0213,1
2024-07-01 08:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0569,1,5.0114,1,18.3031,1,34.0228,1
2024-07-01 08:30:00+00:00,20.0000,SBE16_SN57353_6479,20.0605,1,5.0121,1,18.0882,1,34.0242,1
2024-07-01 09:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0640,1,5.0128,1,18.0015,1,34.0256,1
2024-07-01 09:30:00+00:00,20.0000,SBE16_SN57353_6479,20.0676,1,5.0135,1,18.0488,1,34.0270,1
2024-07-01 10:00:00+00:00,20.0000,SBE16_SN57353_6479,20.0711,1,5.0142,1,18.2269,1,34.0285,1
