time,depth,sensor_id,TEMP,TEMP_QC,CNDC,CNDC_QC,PRES,PRES_QC,PSAL,PSAL_QC
2024-01-01 00:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0000,1,5.0000,1,10.0000,1,20.0000,1
2024-01-01 00:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0058,1,5.0007,1,10.5190,1,20.0058,1
2024-01-01 01:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0115,1,5.0014,1,11.0025,1,20.0115,1
2024-01-01 01:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0173,1,5.0022,1,11.4173,1,20.0173,1
2024-01-01 02:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0230,1,5.0029,1,11.7349,1,20.0230,1
2024-01-01 02:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0288,1,5.0036,1,11.9337,1,20.0288,1
2024-01-01 03:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0345,1,5.0043,1,12.0000,1,20.0345,1
2024-01-01 03:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0403,1,5.0050,1,11.9292,1,20.0403,1
2024-01-01 04:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0460,1,5.0058,1,11.7263,1,20.0460,1
2024-01-01 04:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0518,1,5.0065,1,11.4050,1,20.0518,1
2024-01-01 05:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0575,1,5.0072,1,10.9875,1,20.0575,1
2024-01-01 05:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0633,1,5.0079,1,10.5023,1,20.0633,1
2024-01-01 06:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0690,1,5.0086,1,9.9827,1,20.0690,1
2024-01-01 06:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0748,1,5.0093,1,9.4643,1,20.0748,1
2024-01-01 07:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0806,1,5.0101,1,8.9826,1,20.0806,1
2024-01-01 07:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0863,1,5.0108,1,8.5706,1,20.0863,1
2024-01-01 08:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0921,1,5.0115,1,8.2566,1,20.0921,1
2024-01-01 08:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.0978,1,5.0122,1,8.0620,1,20.0978,1
2024-01-01 09:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1036,1,5.0129,1,8.0002,1,20.1036,1
2024-01-01 09:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1093,1,5.0137,1,8.0754,1,20.1093,1
2024-01-01 10:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1151,1,5.0144,1,8.2825,1,20.1151,1
2024-01-01 10:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1208,1,5.0151,1,8.6073,1,20.1208,1
2024-01-01 11:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1266,1,5.0158,1,9.0275,1,20.1266,1
2024-01-01 11:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1323,1,5.0165,1,9.5144,1,20.1323,1
2024-01-01 12:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1381,1,5.0173,1,10.0345,1,20.1381,1
2024-01-01 12:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1438,1,5.0180,1,10.5523,1,20.1438,1
2024-01-01 13:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1496,1,5.0187,1,11.0322,1,20.1496,1
2024-01-01 13:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1553,1,5.0194,1,11.4414,1,20.1553,1
2024-01-01 14:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1611,1,5.0201,1,11.7518,1,20.1611,1
2024-01-01 14:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1668,1,5.0209,1,11.9422,1,20.1668,1
2024-01-01 15:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1726,1,5.0216,1,11.9995,1,20.1726,1
2024-01-01 15:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1784,1,5.0223,1,11.9198,1,20.1784,1
2024-01-01 16:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1841,1,5.0230,1,11.7086,1,20.1841,1
2024-01-01 16:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1899,1,5.0237,1,11.3803,1,20.1899,1
2024-01-01 17:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.1956,1,5.0245,1,10.9574,1,20.1956,1
2024-01-01 17:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2014,1,5.0252,1,10.4688,1,20.2014,1
2024-01-01 18:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2071,1,5.0259,1,9.9482,1,20.2071,1
2024-01-01 18:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2129,1,5.0266,1,9.4311,1,20.2129,1
2024-01-01 19:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2186,1,5.0273,1,8.9530,1,20.2186,1
2024-01-01 19:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2244,1,5.0280,1,8.5467,1,20.2244,1
2024-01-01 20:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2301,1,5.0288,1,8.2399,1,20.2301,1
2024-01-01 20:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2359,1,5.0295,1,8.0537,1,20.2359,1
2024-01-01 21:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2416,1,5.0302,1,8.0009,1,20.2416,1
2024-01-01 21:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2474,1,5.0309,1,8.0851,1,20.2474,1
2024-01-01 22:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2531,1,5.0316,1,8.3005,1,20.2531,1
2024-01-01 22:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2589,1,5.0324,1,8.6323,1,20.2589,1
2024-01-01 23:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2646,1,5.0331,1,9.0578,1,20.2646,1
2024-01-01 23:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2704,1,5.0338,1,9.5479,1,20.2704,1
2024-01-02 00:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2761,1,5.0345,1,10.0690,1,20.2761,1
2024-01-02 00:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2819,1,5.0352,1,10.5854,1,20.2819,1
2024-01-02 01:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2876,1,5.0360,1,11.0616,1,20.2876,1
2024-01-02 01:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2934,1,5.0367,1,11.4651,1,20.2934,1
2024-01-02 02:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.2991,1,5.0374,1,11.7682,1,20.2991,1
2024-01-02 02:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3049,1,5.0381,1,11.9502,1,20.3049,1
2024-01-02 03:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3106,1,5.0388,1,11.9985,1,20.3106,1
2024-01-02 03:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3164,1,5.0395,1,11.9099,1,20.3164,1
2024-01-02 04:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3221,1,5.0403,1,11.6904,1,20.3221,1
2024-01-02 04:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3279,1,5.0410,1,11.3551,1,20.3279,1
2024-01-02 05:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3336,1,5.0417,1,10.9269,1,20.3336,1
2024-01-02 05:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3394,1,5.0424,1,10.4352,1,20.3394,1
2024-01-02 06:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3451,1,5.0431,1,9.9137,1,20.3451,1
2024-01-02 06:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3509,1,5.0439,1,9.3981,1,20.3509,1
2024-01-02 07:00:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3566,1,5.0446,1,8.9238,1,20.3566,1
2024-01-02 07:30:00+00:00,20.0000,SBE37SMP_SN47472_5496,20.3624,1,5.0453,1,8.5232,1,20.3624,1
